2025-04-13T00:00: 1,7°C | ■
2025-04-13T01:00: 1,5°C | ■
2025-04-13T02:00: 1,3°C | ■
2025-04-13T03:00: 1,2°C | ■
2025-04-13T04:00: 1,1°C | ■
2025-04-13T05:00: 2,3°C | ■■
2025-04-13T06:00: 6,8°C | ■■■■■■
2025-04-13T07:00: 9,2°C | ■■■■■■■■■
2025-04-13T08:00: 10,9°C | ■■■■■■■■■■
2025-04-13T09:00: 11,8°C | ■■■■■■■■■■■
2025-04-13T10:00: 12,4°C | ■■■■■■■■■■■■
2025-04-13T11:00: 12,8°C | ■■■■■■■■■■■■
2025-04-13T12:00: 13,7°C | ■■■■■■■■■■■■■
2025-04-13T13:00: 13,6°C | ■■■■■■■■■■■■■
2025-04-13T14:00: 13,5°C | ■■■■■■■■■■■■■
2025-04-13T15:00: 13,8°C | ■■■■■■■■■■■■■
2025-04-13T16:00: 12,4°C | ■■■■■■■■■■■■
2025-04-13T17:00: 10,3°C | ■■■■■■■■■■
2025-04-13T18:00: 9°C | ■■■■■■■■■
2025-04-13T19:00: 8,1°C | ■■■■■■■■
2025-04-13T20:00: 7°C | ■■■■■■■
2025-04-13T21:00: 6,5°C | ■■■■■■
2025-04-13T22:00: 6,2°C | ■■■■■■
2025-04-13T23:00: 6,5°C | ■■■■■■
2025-04-14T00:00: 6°C | ■■■■■■
2025-04-14T01:00: 5,4°C | ■■■■■
2025-04-14T02:00: 4,7°C | ■■■■
2025-04-14T03:00: 4,2°C | ■■■■
2025-04-14T04:00: 4,4°C | ■■■■
2025-04-14T05:00: 6,5°C | ■■■■■■
2025-04-14T06:00: 9°C | ■■■■■■■■■
2025-04-14T07:00: 11,4°C | ■■■■■■■■■■■
2025-04-14T08:00: 13,4°C | ■■■■■■■■■■■■■
2025-04-14T09:00: 14,6°C | ■■■■■■■■■■■■■■
2025-04-14T10:00: 15,4°C | ■■■■■■■■■■■■■■■
2025-04-14T11:00: 15,8°C | ■■■■■■■■■■■■■■■
2025-04-14T12:00: 15,9°C | ■■■■■■■■■■■■■■■
2025-04-14T13:00: 15,8°C | ■■■■■■■■■■■■■■■
2025-04-14T14:00: 15,5°C | ■■■■■■■■■■■■■■■
2025-04-14T15:00: 14,9°C | ■■■■■■■■■■■■■■
2025-04-14T16:00: 13,5°C | ■■■■■■■■■■■■■
2025-04-14T17:00: 11,5°C | ■■■■■■■■■■■
2025-04-14T18:00: 9,9°C | ■■■■■■■■■
2025-04-14T19:00: 9,1°C | ■■■■■■■■■
2025-04-14T20:00: 8,2°C | ■■■■■■■■
2025-04-14T21:00: 7,2°C | ■■■■■■■
2025-04-14T22:00: 6,2°C | ■■■■■■
